Year;Date;Home_Team;Away_Team;Home_Score;Away_Score;Shootout;Tournament;City;Country;Neutral_Venue;WinningTeam;first_shooter;Losing_Team
1984;02/12/1984;Singapore;India;2.0;0.0;FALSE;AFC Asian Cup;Kallang;Singapore;FALSE;Singapore;;India
1984;03/12/1984;China PR;Iran;0.0;2.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;Iran;;China PR
1984;03/12/1984;Kuwait;Qatar;1.0;0.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;Kuwait;;Qatar
1984;04/12/1984;Syria;Saudi Arabia;0.0;1.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;Saudi Arabia;;Syria
1984;04/12/1984;United Arab Emirates;India;2.0;0.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;United Arab Emirates;;India
1984;05/12/1984;South Korea;Kuwait;0.0;0.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;Draw;;Draw
1984;05/12/1984;Singapore;China PR;0.0;2.0;FALSE;AFC Asian Cup;Kallang;Singapore;FALSE;China PR;;Singapore
1984;07/12/1984;Iran;India;0.0;0.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;Draw;;Draw
1984;07/12/1984;Syria;South Korea;1.0;0.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;Syria;;South Korea
1984;08/12/1984;Qatar;Saudi Arabia;1.0;1.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;Draw;;Draw
1984;08/12/1984;Singapore;United Arab Emirates;0.0;1.0;FALSE;AFC Asian Cup;Kallang;Singapore;FALSE;United Arab Emirates;;Singapore
1984;09/12/1984;India;China PR;0.0;3.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;China PR;;India
1984;09/12/1984;Kuwait;Syria;3.0;1.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;Kuwait;;Syria
1984;10/12/1984;South Korea;Qatar;0.0;1.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;Qatar;;South Korea
1984;10/12/1984;Singapore;Iran;1.0;1.0;FALSE;AFC Asian Cup;Kallang;Singapore;FALSE;Draw;;Draw
1984;11/12/1984;China PR;United Arab Emirates;5.0;0.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;China PR;;United Arab Emirates
1984;11/12/1984;Saudi Arabia;Kuwait;1.0;0.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;Saudi Arabia;;Kuwait
1984;13/12/1984;Saudi Arabia;Iran;1.0;1.0;TRUE;AFC Asian Cup;Kallang;Singapore;TRUE;Saudi Arabia;;Iran
1984;14/12/1984;Kuwait;China PR;0.0;1.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;China PR;;Kuwait
1984;16/12/1984;Iran;Kuwait;1.0;1.0;TRUE;AFC Asian Cup;Kallang;Singapore;TRUE;Kuwait;;Iran
1984;16/12/1984;Saudi Arabia;China PR;2.0;0.0;FALSE;AFC Asian Cup;Kallang;Singapore;TRUE;Saudi Arabia;;China PR
1988;02/12/1988;Qatar;Iran;0.0;2.0;FALSE;AFC Asian Cup;Doha;Qatar;FALSE;Iran;;Qatar
1988;02/12/1988;Syria;Saudi Arabia;0.0;2.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;Saudi Arabia;;Syria
1988;03/12/1988;Kuwait;Bahrain;0.0;0.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;Draw;;Draw
1988;03/12/1988;United Arab Emirates;South Korea;0.0;1.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;South Korea;;United Arab Emirates
1988;04/12/1988;China PR;Syria;3.0;0.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;China PR;;Syria
1988;04/12/1988;Japan;Iran;0.0;0.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;Draw;;Draw
1988;05/12/1988;Qatar;United Arab Emirates;2.0;1.0;FALSE;AFC Asian Cup;Doha;Qatar;FALSE;Qatar;;United Arab Emirates
1988;05/12/1988;Saudi Arabia;Kuwait;0.0;0.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;Draw;;Draw
1988;06/12/1988;Bahrain;China PR;0.0;1.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;China PR;;Bahrain
1988;06/12/1988;South Korea;Japan;2.0;0.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;South Korea;;Japan
1988;08/12/1988;Iran;United Arab Emirates;1.0;0.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;Iran;;United Arab Emirates
1988;08/12/1988;Syria;Kuwait;1.0;0.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;Syria;;Kuwait
1988;09/12/1988;Qatar;South Korea;2.0;3.0;FALSE;AFC Asian Cup;Doha;Qatar;FALSE;South Korea;;Qatar
1988;09/12/1988;Saudi Arabia;Bahrain;1.0;1.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;Draw;;Draw
1988;10/12/1988;Kuwait;China PR;2.0;2.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;Draw;;Draw
1988;10/12/1988;United Arab Emirates;Japan;1.0;0.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;United Arab Emirates;;Japan
1988;11/12/1988;Bahrain;Syria;0.0;1.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;Syria;;Bahrain
1988;11/12/1988;South Korea;Iran;3.0;0.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;South Korea;;Iran
1988;12/12/1988;China PR;Saudi Arabia;0.0;1.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;Saudi Arabia;;China PR
1988;12/12/1988;Qatar;Japan;3.0;0.0;FALSE;AFC Asian Cup;Doha;Qatar;FALSE;Qatar;;Japan
1988;14/12/1988;South Korea;China PR;2.0;1.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;South Korea;;China PR
1988;15/12/1988;Saudi Arabia;Iran;1.0;0.0;FALSE;AFC Asian Cup;Doha;Qatar;TRUE;Saudi Arabia;;Iran
1988;17/12/1988;China PR;Iran;0.0;0.0;TRUE;AFC Asian Cup;Doha;Qatar;TRUE;Iran;;China PR
1988;18/12/1988;South Korea;Saudi Arabia;0.0;0.0;TRUE;AFC Asian Cup;Doha;Qatar;TRUE;Saudi Arabia;;South Korea
1992;29/10/1992;Qatar;Thailand;1.0;1.0;FALSE;AFC Asian Cup;Hiroshima;Japan;TRUE;Draw;;Draw
1992;29/10/1992;Saudi Arabia;China PR;1.0;1.0;FALSE;AFC Asian Cup;Hiroshima;Japan;TRUE;Draw;;Draw
1992;30/10/1992;Japan;United Arab Emirates;0.0;0.0;FALSE;AFC Asian Cup;Onomichi;Japan;FALSE;Draw;;Draw
1992;30/10/1992;North Korea;Iran;0.0;2.0;FALSE;AFC Asian Cup;Onomichi;Japan;TRUE;Iran;;North Korea
1992;31/10/1992;China PR;Thailand;0.0;0.0;FALSE;AFC Asian Cup;Hiroshima;Japan;TRUE;Draw;;Draw
1992;31/10/1992;Saudi Arabia;Qatar;1.0;1.0;FALSE;AFC Asian Cup;Hiroshima;Japan;TRUE;Draw;;Draw
1992;01/11/1992;Japan;North Korea;1.0;1.0;FALSE;AFC Asian Cup;Hiroshima;Japan;FALSE;Draw;;Draw
1992;01/11/1992;United Arab Emirates;Iran;0.0;0.0;FALSE;AFC Asian Cup;Hiroshima;Japan;TRUE;Draw;;Draw
1992;02/11/1992;China PR;Qatar;2.0;1.0;FALSE;AFC Asian Cup;Onomichi;Japan;TRUE;China PR;;Qatar
1992;02/11/1992;Saudi Arabia;Thailand;4.0;0.0;FALSE;AFC Asian Cup;Onomichi;Japan;TRUE;Saudi Arabia;;Thailand
1992;03/11/1992;Japan;Iran;1.0;0.0;FALSE;AFC Asian Cup;Hiroshima;Japan;FALSE;Japan;;Iran
1992;03/11/1992;United Arab Emirates;North Korea;2.0;1.0;FALSE;AFC Asian Cup;Hiroshima;Japan;TRUE;United Arab Emirates;;North Korea
1992;06/11/1992;Japan;China PR;3.0;2.0;FALSE;AFC Asian Cup;Hiroshima;Japan;FALSE;Japan;;China PR
1992;06/11/1992;Saudi Arabia;United Arab Emirates;2.0;0.0;FALSE;AFC Asian Cup;Hiroshima;Japan;TRUE;Saudi Arabia;;United Arab Emirates
1992;08/11/1992;China PR;United Arab Emirates;1.0;1.0;TRUE;AFC Asian Cup;Hiroshima;Japan;TRUE;China PR;;United Arab Emirates
1992;08/11/1992;Japan;Saudi Arabia;1.0;0.0;FALSE;AFC Asian Cup;Hiroshima;Japan;FALSE;Japan;;Saudi Arabia
